u,v,cosine,jaccard,euclidean_similarity,combined_weight
U04,U08,0.6179960077941904,0.1875,0.435935266608959,0.45575378349007334
U06,U07,0.4851696478512457,0.3076923076923077,0.5304887574632982,0.4543960456951269
U01,U13,0.5835241771594171,0.25,0.4308676751638599,0.4543461822708956
U02,U04,0.4502317794697538,0.14285714285714285,0.7092490557727849,0.4510933032075104
U02,U15,0.5143368025420079,0.2727272727272727,0.5,0.4496333793257218
U01,U09,0.4628584625339035,0.15384615384615385,0.675730515978166,0.44946700139524487
U04,U16,0.49643565025547237,0.21428571428571427,0.5616825802660905,0.4454722452662183
U13,U16,0.48277454187037006,0.3333333333333333,0.4809700294172286,0.4448728860001684
U07,U11,0.5082673475432542,0.13333333333333333,0.5978407120788986,0.4414058533514673
U08,U10,0.5075581423901944,0.26666666666666666,0.48700304782836473,0.44116874509076354
U01,U10,0.4722561514157403,0.23076923076923078,0.557571471437145,0.4374790172605343
U06,U09,0.5599585864666461,0.21428571428571427,0.437856880676479,0.436909856684363
U03,U16,0.4727746944276664,0.15384615384615385,0.6154908056101415,0.4358573926370308
U04,U10,0.47664946223126936,0.2857142857142857,0.4964603293173605,0.43485892822785077
U09,U19,0.4490469998256598,0.2857142857142857,0.536180679132577,0.43435392508989146
U02,U17,0.5166647853520392,0.16666666666666666,0.5327109577362611,0.4339791073959627
U10,U20,0.4830680643172523,0.26666666666666666,0.49478788811241575,0.4324836620431549
U03,U13,0.4837008821250148,0.25,0.4941552053754184,0.42841195856888215
U03,U20,0.47869407791524055,0.21428571428571427,0.5225671636404632,0.42575391272542573
U13,U14,0.455610560356108,0.3076923076923077,0.47287286215162855,0.42380968772881406
U14,U15,0.46297756560676484,0.14285714285714285,0.5971064640791546,0.42318612946107625
U09,U20,0.5071253091403124,0.2857142857142857,0.3982835140058271,0.41912001474346017
U14,U20,0.4699046574528727,0.1875,0.5333646912575631,0.4183415032310616
U02,U09,0.5260509605174365,0.25,0.3885983084876516,0.4158024247791419
U02,U06,0.4263784974218134,0.23076923076923078,0.5528218213026905,0.41540917792293086
U16,U19,0.4403530430809518,0.2857142857142857,0.4776400902698344,0.4128794678959501
U07,U17,0.4269997006931368,0.25,0.5243492465407593,0.41195463927413933
U03,U14,0.43846633663626156,0.14285714285714285,0.594731383047095,0.41144355211473194
U08,U17,0.47746796928228263,0.21428571428571427,0.46801852896632906,0.4088375734383545
U10,U13,0.49703632781987267,0.13333333333333333,0.48638061132808297,0.4029138642507009
U06,U08,0.5169633224685947,0.11764705882352941,0.4694593935041326,0.40288307786798977
U01,U05,0.31325071626902995,0.15384615384615385,0.7399929726547124,0.40142225257901565
U12,U14,0.4063760774600651,0.2857142857142857,0.48737233358148646,0.4005095063600467
U04,U11,0.49485266076623674,0.125,0.4884007768857441,0.4004539304105298
U15,U19,0.4214299317266137,0.3076923076923077,0.4426185954904401,0.39935212484718513
U19,U20,0.42235879047185015,0.3333333333333333,0.41598512051355857,0.39819032519973346
U12,U13,0.43470831210732297,0.3076923076923077,0.4181169733947167,0.3979769093897873
U03,U15,0.4434704959694773,0.16666666666666666,0.5141534854904032,0.39547443550005235
U06,U17,0.4667247465920338,0.14285714285714285,0.4964603293173605,0.39467852047590907
U07,U20,0.420905576257382,0.2857142857142857,0.44242277379116074,0.39356291288174156
U03,U06,0.46342815703408136,0.14285714285714285,0.49203969525016517,0.3918688649546719
U11,U18,0.3893623855782319,0.0625,0.6593939340191081,0.38865625371593676
U10,U18,0.45551261205942023,0.13333333333333333,0.496951106149345,0.3873993406048759
U04,U12,0.44437638237618826,0.2,0.45751834142752373,0.38722487449754184
U02,U08,0.5003839788080354,0.13333333333333333,0.4216044530007537,0.3849874596971754
U08,U20,0.44993911192817887,0.25,0.39973493223322987,0.38489308003764944
U08,U19,0.3828493954750945,0.25,0.5,0.3847822279637925
U12,U19,0.3362552204109159,0.26666666666666666,0.5490224970567203,0.3826882649685949
U04,U17,0.35261563124696677,0.14285714285714285,0.626139936531203,0.3822333007347817
U02,U19,0.45162236318959115,0.21428571428571427,0.41313367294585523,0.3807415938905011
U08,U14,0.4157146438813822,0.26666666666666666,0.41829118442945684,0.3792256117421257
U05,U10,0.3147554698057342,0.21428571428571427,0.6103945037741196,0.37832974111624484
U01,U18,0.40015379907818066,0.25,0.45102718848538204,0.3778773661307959
U07,U18,0.3279380590196225,0.14285714285714285,0.6434205921774155,0.3763125899263405
U01,U06,0.41190196953308184,0.23076923076923078,0.4268832886515561,0.37111318057766135
U09,U18,0.3838108698147748,0.23076923076923078,0.4610850404069398,0.3687327112310383
U03,U08,0.358886784892478,0.21428571428571427,0.5118831928870875,0.3686354396391699
U09,U13,0.40792060668703417,0.23076923076923078,0.42402961300065684,0.3684654646016702
U12,U17,0.3073437577072433,0.23076923076923078,0.5729490168751578,0.3678817037231145
U09,U12,0.2935539503070778,0.21428571428571427,0.6045670981802725,0.3670408356636954
U15,U16,0.3879371102840107,0.25,0.43290405349938565,0.3669429156776205
U04,U14,0.31831385822535,0.2,0.5766626053980936,0.3662400178208356
U13,U18,0.376608825445498,0.14285714285714285,0.5347235907014857,0.3656053343752055
U16,U20,0.3576315205178219,0.125,0.5744556135267088,0.3645208682910325
U06,U12,0.4433749767464854,0.125,0.44467485016581626,0.3641711945856633
U11,U13,0.30786559057206975,0.0625,0.6931253413338606,0.3621021181575896
U05,U09,0.2712017362121305,0.14285714285714285,0.675730515978166,0.3604742218031942
U02,U18,0.40427999821371824,0.25,0.38482104070986856,0.3598723114091338
U06,U19,0.4204829202595593,0.1875,0.41239444726839464,0.35981064829732007
U02,U13,0.4010133712531804,0.15384615384615385,0.46806709123295115,0.35933768289535495
U06,U10,0.41243347627860527,0.2,0.4119892048569781,0.3591918257824658
U03,U11,0.31806439248392315,0.23076923076923078,0.5096189432334203,0.3537069672800992
U16,U18,0.30230967037384265,0.23076923076923078,0.5313730334031141,0.3531435693814711
U05,U06,0.38203800624529455,0.21428571428571427,0.4127257382384491,0.3493062528533458
U08,U09,0.3068289323711612,0.2857142857142857,0.46225942829169997,0.34817941948310394
U10,U12,0.3085536819008786,0.2,0.5119524439878639,0.34243489005175454
U07,U15,0.2987968630788561,0.15384615384615385,0.5472319827952226,0.3370897216855905
U12,U18,0.360790967874106,0.21428571428571427,0.4037765856343858,0.337060339805092
U11,U16,0.34640648332307017,0.0625,0.5446586537820498,0.33490551362999654
U11,U20,0.33688495912924077,0.1875,0.45457495680171517,0.3348457186486729
U13,U19,0.35470424585340893,0.125,0.47416852590631486,0.3331174684059285
U06,U14,0.3113622503638397,0.125,0.5277149994042617,0.3296775124850064
U12,U20,0.2823388451442294,0.26666666666666666,0.43413613255966527,0.32395998674946946
U06,U18,0.29319336025191606,0.21428571428571427,0.44113853589637586,0.31785000145370357
U07,U19,0.2720283855063933,0.2,0.47748251351030896,0.31565752753096965
U10,U14,0.25063640630166023,0.2,0.49478788811241575,0.3112227492694718
U09,U10,0.24523548396794456,0.21428571428571427,0.49013410800109763,0.3109676287573329
U07,U16,0.26484391728932855,0.14285714285714285,0.5115029884360645,0.3083449450253029
U01,U04,0.25905404482808825,0.23076923076923078,0.43895315271480867,0.30595257367939
U09,U14,0.20624091578648465,0.21428571428571427,0.5277149994042617,0.30469434049662514
U03,U07,0.26553134810230394,0.07142857142857142,0.5381635891872427,0.29879532625935246
U11,U15,0.29035302750650516,0.14285714285714285,0.4398874532813116,0.29833938407660654
U02,U12,0.3303602283500479,0.06666666666666667,0.44177888557595646,0.2978624350969752
U12,U16,0.2673324234182104,0.13333333333333333,0.47669766900311594,0.2966422245724628
U11,U14,0.273181258188465,0.125,0.47292341284971223,0.2960585900397229
U09,U15,0.24345133151778892,0.15384615384615385,0.49322709428022227,0.29598276592861017
U18,U20,0.2669246853714096,0.2,0.41923022038431207,0.2958851745324279
U09,U11,0.24073292233667257,0.21428571428571427,0.43958154834515206,0.29377570812647685
U05,U15,0.21692343642180972,0.25,0.4449944320643648,0.2936138760091238
U01,U16,0.2704450582494866,0.07142857142857142,0.5096189432334204,0.2924431020394379
U05,U14,0.21585094313436182,0.13333333333333333,0.5156780501992997,0.28516967280358607
U07,U09,0.234598220866621,0.06666666666666667,0.5301687056849996,0.281286477762146
U01,U11,0.28378815911584093,0.06666666666666667,0.4535166147809335,0.2804263227030751
U02,U05,0.25608232750083343,0.15384615384615385,0.40216115757486603,0.2743469331093733
U15,U18,0.2384619794049554,0.15384615384615385,0.4285714285714286,0.274340857765197
U05,U13,0.279593703830662,0.06666666666666667,0.43619458970964753,0.2733422103033588
U03,U19,0.17029947991522373,0.0625,0.591437615170792,0.2696910505130883
U01,U02,0.27828760635960864,0.07692307692307693,0.4076696830622021,0.2667610970112538
U05,U17,0.10532037474282084,0.15384615384615385,0.5884727626919395,0.26239753590338966
U03,U05,0.1265155914077484,0.0,0.6759704685350902,0.25972315669401386
U01,U19,0.16688151237091078,0.0625,0.5603146309733211,0.25881606985890615
U17,U19,0.14272113459181465,0.13333333333333333,0.5224918792627447,0.2543054076784733
U08,U18,0.2137729613267866,0.058823529411764705,0.4725952091590609,0.25268227769771345
U02,U14,0.18119085785663344,0.06666666666666667,0.49269135789609797,0.24600996007098108
U03,U04,0.17411609270332354,0.0,0.5554661584997941,0.2449920892664338
U11,U17,0.1622911308318773,0.06666666666666667,0.5047174010164595,0.2411128958459493
U06,U11,0.21275473247014162,0.0,0.4720418027591463,0.23735217043930762
U14,U16,0.08849963601328258,0.13333333333333333,0.5450167617117325,0.23666319805283026
U07,U10,0.1072587028587976,0.13333333333333333,0.48700304782836473,0.22770066396830166
U05,U20,0.08480350430595941,0.2,0.4273459016147772,0.21636534742211488
U12,U15,0.12544278002900178,0.06666666666666667,0.475788359302386,0.21585242547043326
U14,U19,0.08881082716553146,0.11764705882352941,0.4818644640626882,0.21393597614917798
U02,U07,0.1489437175762072,0.07142857142857142,0.42650772787837155,0.21283413412994756
U04,U18,0.1315427403971345,0.0625,0.44273624648682636,0.20764010712475844
U18,U19,0.10192027871467897,0.125,0.430390621384616,0.2062313118369903
U05,U18,0.07109285006324582,0.06666666666666667,0.4664268507553201,0.1885865044217233
U04,U09,0.0484068932556084,0.0,0.42321544498494024,0.14874773546050585
